,age,height_cm,weight_kg,overall,potential,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
overall,0.468196734,0.031579342,0.146241646,1,0.636366207,0.222813588,0.381368824,0.202962496,0.48831532,0.711520934,0.64109665,0.358523764,0.530386125,0.410530416,0.325413008,0.327239195,0.502190633,0.374330264,0.378454674,0.420494548,0.385616654,0.487147204,0.449372353,0.206961918,0.21574506,0.279888649,0.867233802,0.128348945,0.55837248,0.282439643,0.381869262,0.358048899,0.407525351,0.401919767,0.320161656,0.354238737,0.509087234,0.328198058,0.705252062,,0.260325192,0.23239225,0.003128288,0.003453869,-0.00051164,0.012274397,0.004052491
power_long_shots,0.15609851,-0.379300182,-0.27580695,0.407525351,0.243390686,0.366295435,0.745381229,0.299546804,0.925873605,0.710328561,0.751464038,-0.245114584,0.067915826,0.746339611,0.893431614,0.516451928,0.764564374,0.87673552,0.850528926,0.840524205,0.809030477,0.66944718,0.833385514,0.592269996,0.571907201,0.664197209,0.431290089,0.552551318,0.795323925,0.131499099,0.604193802,0.07205917,1,0.408163541,0.195872292,0.878458363,0.75711618,0.822384724,0.657092427,,0.181266378,0.142023632,-0.613505263,-0.612737409,-0.608056682,-0.607605605,-0.612093727
mentality_composure,0.361039218,-0.155509064,-0.056998517,0.705252062,0.425953262,0.304744706,0.600164357,0.113181799,0.551677989,0.707233607,0.621525384,0.231016307,0.412417591,0.615671396,0.583896118,0.549488919,0.734098323,0.634898623,0.657164817,0.663915144,0.620539433,0.687183818,0.718977463,0.405519515,0.402245291,0.491820365,0.68897774,0.366917367,0.630195491,0.273520443,0.571736731,0.295337654,0.657092427,0.561372464,0.415906409,0.632970769,0.666858966,0.601130684,1,,0.380771883,0.346178045,-0.42664051,-0.423704307,-0.422474667,-0.416547505,-0.425236433
mentality_positioning,0.096430595,-0.43797317,-0.347660934,0.354238737,0.229675645,0.352955853,0.772783257,0.439892922,0.859407542,0.669239983,0.804650221,-0.337303261,0.000635136,0.79813427,0.899253092,0.552615741,0.770934871,0.86026412,0.907971143,0.826783774,0.742954125,0.629869051,0.869869429,0.694794829,0.677323576,0.721559916,0.396824517,0.614216385,0.65805518,0.139310701,0.656574072,0.033646951,0.878458363,0.41809029,0.19717678,1,0.736978279,0.813421249,0.632970769,,0.191709673,0.15656449,-0.693415935,-0.692037969,-0.687817648,-0.686950547,-0.692045453
shooting,0.241837485,-0.194546243,-0.088739624,0.48831532,0.286300693,0.330827073,0.611114452,0.350495656,1,0.654702533,0.769547079,-0.40236545,0.020285785,0.508112431,0.96402959,0.074003012,0.51959343,0.879354332,0.762749014,0.721252624,0.653160422,0.3629802,0.723556046,0.355769863,0.326826138,0.498184473,0.469445824,0.327036804,0.858489104,-0.030757345,0.209358055,-0.033795559,0.925873605,-0.056549941,-0.370569155,0.859407542,0.746976718,0.798171769,0.551677989,,-0.433538216,-0.468305046,0.023197072,0.026637037,0.043887546,0.035660676,0.033300809
power_shot_power,0.267955898,-0.158180753,-0.044319397,0.55837248,0.336308883,0.318807743,0.564085812,0.22837959,0.858489104,0.653925652,0.663759272,-0.149859617,0.214218618,0.5275642,0.723310223,0.358763011,0.571843691,0.742692862,0.61118656,0.680135749,0.653712738,0.528185526,0.605494004,0.358817713,0.357355492,0.447846719,0.522892442,0.321954396,1,0.126139342,0.390444906,0.173979311,0.795323925,0.30848392,0.048029955,0.65805518,0.676919121,0.674846082,0.630195491,,0.018105596,-0.014566933,-0.270871982,-0.270802632,-0.261320227,-0.265791214,-0.269758889
movement_reactions,0.456416322,-0.00127258,0.104062302,0.867233802,0.512925813,0.214474712,0.368270468,0.112144509,0.469445824,0.653150831,0.576159928,0.334900237,0.489143527,0.390349008,0.349849861,0.35385686,0.506056436,0.398245806,0.383160863,0.419032771,0.394794321,0.481508983,0.4519056,0.195211579,0.196432441,0.28315992,1,0.155342378,0.522892442,0.282566938,0.39825091,0.328486658,0.431290089,0.42404824,0.343642373,0.396824517,0.519530907,0.354374982,0.68897774,,0.270585654,0.239903787,-0.062450192,-0.062440688,-0.06569098,-0.054145015,-0.059819655
skill_moves,0.063209537,-0.419540917,-0.345576066,0.381368824,0.297293473,0.34523064,1,0.418162263,0.611114452,0.593285382,0.693280252,-0.206167236,-0.059421966,0.73126178,0.739829981,0.433175055,0.705463165,0.742233174,0.812046763,0.767581506,0.700108842,0.598345888,0.786677377,0.648708266,0.617340545,0.688566793,0.368270468,0.590103083,0.564085812,0.09611718,0.556631804,-0.031528159,0.745381229,0.353466799,0.20439894,0.772783257,0.65271212,0.690201777,0.600164357,,0.207693655,0.173611063,-0.607464483,-0.606792722,-0.602762225,-0.604079538,-0.607398724
attacking_volleys,0.139520888,-0.34387746,-0.255274141,0.374330264,0.230762922,0.36630375,0.742233174,0.3056408,0.879354332,0.589907072,0.689660694,-0.373282444,0.001802997,0.693095288,0.894609971,0.523098668,0.701394129,1,0.815498745,0.811670315,0.751643082,0.570244962,0.795333931,0.58436125,0.568962031,0.637408904,0.398245806,0.528486942,0.742692862,0.126188174,0.534451094,0.058995963,0.87673552,0.348161726,0.091183812,0.86026412,0.693229758,0.846056546,0.634898623,,0.083841362,0.046151509,-0.596859158,-0.596002225,-0.591802483,-0.591306322,-0.595653838
attacking_finishing,0.082528243,-0.371721774,-0.285087724,0.325413008,0.217647672,0.369758784,0.739829981,0.367926136,0.96402959,0.543565769,0.711936394,-0.509018257,-0.068746857,0.671432733,1,0.489731164,0.676206269,0.894609971,0.832321419,0.774795471,0.711373536,0.528298746,0.794504545,0.617339932,0.603416352,0.656721069,0.349849861,0.541413809,0.723310223,0.096763221,0.527530018,0.022080698,0.893431614,0.27831242,0.004685373,0.899253092,0.70158417,0.849292001,0.583896118,,-8.49E-05,-0.039635871,-0.598580637,-0.597902349,-0.593251292,-0.593488449,-0.597398423
